step,time_hours,demand,solar,price,soc,battery_flow_mw,emergency_generator_mw,curtail_solar_mw,fcas_reserve_mw,net_grid_power_mw,unmet_demand_mw,overvoltage_mw,step_cost,cum_cost
0,0.0,38.0,0.0,140.0,0.4473684210526316,20.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,19037.5
1,0.25,37.0,0.0,138.0,0.39473684210526316,20.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,20022.76
2,0.5,37.0,0.0,135.0,0.34210526315789475,20.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,20995.26
3,0.75,36.0,0.0,133.0,0.2894736842105263,20.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,21917.27
4,1.0,36.0,0.0,130.0,0.2368421052631579,20.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,22827.27
5,1.25,35.0,0.0,128.0,0.1842105263157895,20.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,23688.53
6,1.5,34.0,0.0,125.0,0.1842105263157895,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,41052.14
7,1.75,34.0,0.0,122.0,0.1842105263157895,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,42386.64
8,2.0,33.0,0.0,120.0,0.1842105263157895,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,43665.4
9,2.25,33.0,0.0,117.0,0.1842105263157895,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,44919.4
10,2.5,32.0,0.0,115.0,0.1842105263157895,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,46119.41
11,2.75,32.0,0.0,113.0,0.1842105263157895,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,47303.41
12,3.0,32.0,0.0,110.0,0.1842105263157895,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,48463.41
13,3.25,31.0,0.0,107.0,0.1842105263157895,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,49563.92
14,3.5,31.0,0.0,105.0,0.1842105263157895,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,50648.92
15,3.75,30.0,0.0,103.0,0.1842105263157895,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,51683.93
16,4.0,30.0,0.0,100.0,0.1842105263157895,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,52696.43
17,4.25,30.0,0.0,100.0,0.1842105263157895,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,53708.93
18,4.5,30.0,0.0,100.0,0.1842105263157895,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,54721.43
19,4.75,30.0,0.0,100.0,0.1842105263157895,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,55733.93
20,5.0,30.0,0.0,100.0,0.1842105263157895,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,56746.43
21,5.25,30.0,0.0,105.0,0.1842105263157895,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,57796.43
22,5.5,31.0,0.0,110.0,0.1842105263157895,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,58920.19
23,5.75,32.0,0.0,115.0,0.1842105263157895,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,60120.2
24,6.0,32.0,0.0,120.0,0.1842105263157895,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,61360.2
25,6.25,33.0,1.0,124.0,0.1842105263157895,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,62632.2
26,6.5,34.0,2.0,128.0,0.1842105263157895,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,63936.2
27,6.75,35.0,5.0,131.0,0.1842105263157895,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,65181.24
28,7.0,36.0,8.0,135.0,0.1842105263157895,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,66371.28
29,7.25,38.0,12.0,139.0,0.1842105263157895,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,67502.32
30,7.5,39.0,16.0,142.0,0.1842105263157895,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,68520.16
31,7.75,40.0,23.0,146.0,0.1842105263157895,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,69289.77
32,8.0,42.0,30.0,150.0,0.1842105263157895,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,69845.02
33,8.25,43.0,36.0,138.0,0.1842105263157895,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,70148.02
34,8.5,44.0,42.0,125.0,0.1842105263157895,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,70228.27
35,8.75,45.0,49.0,113.0,0.1842105263157895,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,70178.63
36,9.0,46.0,55.0,100.0,0.2055855263157895,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70291.29
37,9.25,46.0,61.0,85.0,0.2412105263157895,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70478.79
38,9.5,45.0,66.0,70.0,0.2887105263157895,-20.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,70716.3
39,9.75,44.0,72.0,55.0,0.33621052631578946,-20.0,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,70866.79
40,10.0,44.0,78.0,40.0,0.38371052631578945,-20.0,0.0,0.0,0.0,-14.0,0.0,0.0,0.0,70942.15
41,10.25,43.0,84.0,30.0,0.43121052631578943,-20.0,0.0,0.0,0.0,-21.0,0.0,0.0,0.0,70930.14
42,10.5,42.0,90.0,20.0,0.4787105263157894,-20.0,0.0,0.0,0.0,-28.0,0.0,0.0,0.0,70830.63
43,10.75,41.0,95.0,10.0,0.5262105263157895,-20.0,0.0,0.0,0.0,-34.0,0.0,0.0,0.0,70655.99
44,11.0,40.0,100.0,0.0,0.5737105263157894,-20.0,0.0,0.0,0.0,-40.0,0.0,0.0,0.0,70406.35
45,11.25,39.0,104.0,-7.0,0.6212105263157894,-20.0,0.0,0.0,0.0,-45.0,0.0,0.0,0.0,70094.1
46,11.5,38.0,108.0,-15.0,0.6687105263157894,-20.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,69719.35
47,11.75,37.0,113.0,-22.0,0.7162105263157894,-20.0,0.0,6.0,0.0,-50.0,0.0,0.0,0.0,69344.35
48,12.0,36.0,118.0,-30.0,0.7637105263157894,-20.0,0.0,12.0,0.0,-50.0,0.0,0.0,0.0,68969.35
49,12.25,36.0,119.0,-33.0,0.8112105263157894,-20.0,0.0,13.0,0.0,-50.0,0.0,0.0,0.0,68594.35
50,12.5,35.0,120.0,-35.0,0.8587105263157894,-20.0,0.0,15.0,0.0,-50.0,0.0,0.0,0.0,68219.35
